1.00000000e-03	1.48227679e+02	-9.99879572e+04	4.98932939e-03
2.00000000e-03	9.82455368e+01	-2.49764604e+04	9.91613710e-03
3.00000000e-03	8.16077561e+01	-1.10770760e+04	1.47249041e-02
4.00000000e-03	7.33131695e+01	-6.20677609e+03	1.93720517e-02
5.00000000e-03	6.83603857e+01	-3.94903699e+03	2.38278463e-02
6.00000000e-03	6.50812764e+01	-2.72052966e+03	2.80756208e-02
7.00000000e-03	6.27601420e+01	-1.97864410e+03	3.21094023e-02
8.00000000e-03	6.10385497e+01	-1.49661635e+03	3.59310380e-02
9.00000000e-03	5.97169586e+01	-1.16601517e+03	3.95475427e-02
1.00000000e-02	5.86753645e+01	-9.29650506e+02	4.29689839e-02
1.10000000e-02	5.78372173e+01	-7.55015340e+02	4.62069521e-02
1.20000000e-02	5.71513675e+01	-6.22509293e+02	4.92735337e-02
1.30000000e-02	5.65823332e+01	-5.19736230e+02	5.21806642e-02
1.40000000e-02	5.61047304e+01	-4.38541330e+02	5.49397504e-02
1.50000000e-02	5.56999241e+01	-3.73379803e+02	5.75614721e-02
1.60000000e-02	5.53539307e+01	-3.20374230e+02	6.00556978e-02
1.70000000e-02	5.50560576e+01	-2.76746962e+02	6.24314711e-02
1.80000000e-02	5.47979936e+01	-2.40466057e+02	6.46970369e-02
1.90000000e-02	5.45731854e+01	-2.10017545e+02	6.68598911e-02
2.00000000e-02	5.43763994e+01	-1.84254942e+02	6.89268385e-02
2.10000000e-02	5.42034092e+01	-1.62297437e+02	7.09040554e-02
2.20000000e-02	5.40507663e+01	-1.43459526e+02	7.27971501e-02
2.30000000e-02	5.39156314e+01	-1.27201455e+02	7.46112202e-02
2.40000000e-02	5.37956475e+01	-1.13093734e+02	7.63509062e-02
2.50000000e-02	5.36888429e+01	-1.00791311e+02	7.80204390e-02
2.60000000e-02	5.35935569e+01	-9.00145316e+01	7.96236835e-02
2.70000000e-02	5.35083818e+01	-8.05349124e+01	8.11641771e-02
2.80000000e-02	5.34321177e+01	-7.21643879e+01	8.26451641e-02
2.90000000e-02	5.33637356e+01	-6.47470955e+01	8.40696264e-02
